
心迷宫,2014,464506
惊魂记,1960,249400
九品芝麻官,1994,587848
纵横四海,1991,379704
海街日记,2015,398573
岁月神偷,2010,538540
记忆碎片,2000,554757
忠犬八公物语,1987,175163
荒蛮故事,2014,400918
爱在午夜降临前,2013,346955
绿里奇迹,1999,289155
爆裂鼓手,2014,523483
小偷家族,2018,752001
贫民窟的百万富翁,2008,689727
色，戒,2007,674562
真爱至上,2003,669759
东邪西毒,1994,530782
无敌破坏王,2012,485894
疯狂的石头,2006,739720
冰川时代,2002,561569
雨中曲,1952,195470
黑天鹅,2010,733071
你看起来好像很好吃,2010,304596
恐怖游轮,2009,759282
2001太空漫游,1968,280743
雨人,1988,371927
恋恋笔记本,2004,607394
魔女宅急便,1989,415213
茶馆,1982(中国大陆),100982
遗愿清单,2007,394889
城市之光,1931,128383
萤火虫之墓,1988,378927
可可西里,2004,272468
大佛普拉斯,2017,396633
无间道2,2003,411450
牯岭街少年杀人事件,1991,253240
虎口脱险,1966,227980
源代码,2011,766603
人工智能,2001,402997
初恋这件小事,2010,916342
海边的曼彻斯特,2016,457280
背靠背，脸对脸,1994,102784
东京教父,2003,186483
罗生门,1950,283153
小丑,2019,913569
终结者2：审判日,1991,312085
青蛇,1993,474070
奇迹男孩,2017,512767
二十二,2015,272686
波西米亚狂想曲,2018,541892
房间,2015,345669
疯狂的麦克斯4：狂暴之路,2015,478115
新龙门客栈,1992,401387
无耻混蛋,2009,431264
魂断蓝桥,1940,252614
血钻,2006,342037
千钧一发,1997,257711
步履不停,2008,250623
黑客帝国2：重装上阵,2003,370872
彗星来的那一夜,2013,504216
战争之王,2005,330233
崖上的波妞,2008,432391
心灵奇旅,2020,856336
爱乐之城,2016,788785
谍影重重2,2004,322491
燃情岁月,1994,263885
阿飞正传,1990,459413
海洋,2009,148945
谍影重重,2002,387580
再次出发之纽约遇见你,2013,392022
穿越时空的少女,2006,352421
火星救援,2015,647099
香水,2006,505352
朗读者,2008,425458
末路狂花,1991,210713
地球上的星星,2007,188239
我爱你,2011,150941
完美陌生人,2016,487885
千年女优,2001,225327
驴得水,2016,846792
聚焦,2015,253099
浪潮,2008,252777
